Linha;Cor;Sigla;Estação;Município;Posição;Distrito
LINHA 01;AZUL;PPQ;Armênia;São Paulo;Elevado;Bom Retiro
LINHA 01;AZUL;LUZ;Luz;São Paulo;Subterrâneo;Bom Retiro
LINHA 01;AZUL;TRD;Tiradentes;São Paulo;Subterrâneo;Bom Retiro
LINHA 01;AZUL;CON;Conceição;São Paulo;Subterrâneo;Jabaquara
LINHA 01;AZUL;JAB;Jabaquara-Comitê Paralímpico Brasileiro;São Paulo;Subterrâneo;Jabaquara
LINHA 01;AZUL;JQM;São Joaquim;São Paulo;Subterrâneo;Liberdade
LINHA 01;AZUL;VGO;Vergueiro;São Paulo;Subterrâneo;Liberdade
LINHA 01;AZUL;CDU;Carandiru;São Paulo;Elevado;Santana
LINHA 01;AZUL;JPA;Jardim São Paulo-Ayrton Senna;São Paulo;Subterrâneo;Santana
LINHA 01;AZUL;TTE;Portuguesa-Tietê;São Paulo;Elevado;Santana
LINHA 01;AZUL;SAN;Santana;São Paulo;Elevado;Santana
LINHA 01;AZUL;ARV;Praça da Árvore;São Paulo;Subterrâneo;Saúde
LINHA 01;AZUL;JUD;São Judas;São Paulo;Subterrâneo;Saúde
LINHA 01;AZUL;SAU;Saúde-Ultrafarma;São Paulo;Subterrâneo;Saúde
LINHA 01;AZUL;LIB;Japão-Liberdade;São Paulo;Subterrâneo;Sé
LINHA 01;AZUL;BTO;São Bento;São Paulo;Subterrâneo;Sé
LINHA 01;AZUL;PSE;Sé;São Paulo;Subterrâneo;Sé
LINHA 01;AZUL;PIG;Parada Inglesa;São Paulo;Elevado;Tucuruvi
LINHA 01;AZUL;TUC;Tucuruvi;São Paulo;Parcialmente subterrâneo;Tucuruvi
LINHA 01;AZUL;ANR;Ana Rosa;São Paulo;Subterrâneo;Vila Mariana
LINHA 01;AZUL;PSO;Paraíso;São Paulo;Subterrâneo;Vila Mariana
LINHA 01;AZUL;SCZ;Santa Cruz;São Paulo;Subterrâneo;Vila Mariana
LINHA 01;AZUL;VMN;Vila Mariana;São Paulo;Subterrâneo;Vila Mariana
LINHA 02;VERDE;ANF;Anália Franco;São Paulo;Subterrâneo;Água Rasa
LINHA 02;VERDE;SCA;Santa Clara;São Paulo;Subterrâneo;Água Rasa
LINHA 02;VERDE;FND;Fernão Dias;São Paulo;Subterrâneo;Cangaíba
LINHA 02;VERDE;TIC;Gabriela Mistral;São Paulo;Subterrâneo;Cangaíba
LINHA 02;VERDE;GUI;Guilherme Giorgi;São Paulo;Subterrâneo;Carrão
LINHA 02;VERDE;SIL;Santa Isabel;São Paulo;Subterrâneo;Carrão
LINHA 02;VERDE;IMG;Santos-Imigrantes;São Paulo;Elevado;Curso
LINHA 02;VERDE;AIP;Alto do Ipiranga;São Paulo;Subterrâneo;Ipiranga
LINHA 02;VERDE;SAC;Sacomã;São Paulo;Subterrâneo;Ipiranga
LINHA 02;VERDE;BGD;Brigadeiro;São Paulo;Subterrâneo;Jardim Paulista
LINHA 02;VERDE;CLI;Clínicas;São Paulo;Subterrâneo;Jardim Paulista
LINHA 02;VERDE;SNC;Consolação;São Paulo;Subterrâneo;Jardim Paulista
LINHA 02;VERDE;TRI;Trianon-Masp;São Paulo;Subterrâneo;Jardim Paulista
LINHA 02;VERDE;PEF;Penha de França;São Paulo;Subterrâneo;Penha
LINHA 02;VERDE;PEN;Penha-Lojas Besni;São Paulo;Subterrâneo;Penha
LINHA 02;VERDE;CRC;Cerro Corá;São Paulo;Subterrâneo;Perdizes
LINHA 02;VERDE;SUM;Santuário Nossa Senhora de Fátima-Sumaré;São Paulo;Elevado;Perdizes
LINHA 02;VERDE;VMD;Vila Madalena;São Paulo;Subterrâneo;Perdizes
LINHA 02;VERDE;PGD;Ponte Grande;Guarulhos;Subterrâneo;Ponte Grande
LINHA 02;VERDE;TTI;Tamanduateí;São Paulo;Elevado;Tamanduateí
LINHA 02;VERDE;DUT;Dutra;Guarulhos;Subterrâneo;Vila Augusta
LINHA 02;VERDE;VFO;Vila Formosa;São Paulo;Subterrâneo;Vila Formosa
LINHA 02;VERDE;ANR;Ana Rosa;São Paulo;Subterrâneo;Vila Mariana
LINHA 02;VERDE;CKB;Chácara Klabin;São Paulo;Subterrâneo;Vila Mariana
LINHA 02;VERDE;PSO;Paraíso;São Paulo;Subterrâneo;Vila Mariana
LINHA 02;VERDE;ARI;Aricanduva;São Paulo;Subterrâneo;Vila Matilde
LINHA 02;VERDE;OFT;Orfanato;São Paulo;Subterrâneo;Vila Prudente
LINHA 02;VERDE;VPT;Vila Prudente;São Paulo;Subterrâneo;Vila Prudente
LINHA 03;VERMELHA;ARTE;Artur Alvim;São Paulo;No nível;Artur Alvim
LINHA 03;VERMELHA;BFU;Palmeiras-Barra Funda;São Paulo;No nível;Barra Funda
LINHA 03;VERMELHA;BEL;Belém;São Paulo;No nível;Belém
LINHA 03;VERMELHA;BAS;Brás;São Paulo;Elevado;Brás
LINHA 03;VERMELHA;BRE;Bresser-Mooca;São Paulo;No nível;Brás
LINHA 03;VERMELHA;ITQ;Corinthians-Itaquera;São Paulo;Elevado;Itaquera
LINHA 03;VERMELHA;PCA;Patriarca-Vila Ré;São Paulo;Parcialmente elevado;Penha
LINHA 03;VERMELHA;PEN;Penha-Lojas Besni;São Paulo;No nível;Penha
LINHA 03;VERMELHA;REP;República;São Paulo;Subterrâneo;República
LINHA 03;VERMELHA;GBU;Anhangabaú;São Paulo;Subterrâneo;República e Sé
LINHA 03;VERMELHA;DEO;Marechal Deodoro;São Paulo;Subterrâneo;Santa Cecília
LINHA 03;VERMELHA;CEC;Santa Cecília;São Paulo;Subterrâneo;Santa Cecília
LINHA 03;VERMELHA;PDS;Pedro II;São Paulo;Elevado;Sé
LINHA 03;VERMELHA;PSE;Sé;São Paulo;Subterrâneo;Sé
LINHA 03;VERMELHA;CAR;Carrão-Assaí Atacadista;São Paulo;No nível;Tatuapé
LINHA 03;VERMELHA;TAT;Tatuapé;São Paulo;No nível;Tatuapé
LINHA 03;VERMELHA;VPA;Guilhermina-Esperança;São Paulo;No nível;Vila Matilde
LINHA 03;VERMELHA;VTD;Vila Matilde;São Paulo;No nível;Vila Matilde
LINHA 04;AMARELA;LUZ;Luz;São Paulo;Subterrâneo;Bom Retiro
LINHA 04;AMARELA;BUT;Butantã;São Paulo;Subterrâneo;Butantã
LINHA 04;AMARELA;HIG;Higienópolis-Mackenzie;São Paulo;Subterrâneo;Consolação
LINHA 04;AMARELA;PTA;Paulista-Pernambucanas;São Paulo;Subterrâneo;Consolação
LINHA 04;AMARELA;FRE;Oscar Freire;São Paulo;Subterrâneo;Jardim Paulista
LINHA 04;AMARELA;SPO;São Paulo-Morumbi;São Paulo;Subterrâneo;Morumbi
LINHA 04;AMARELA;JCK;Chácara do Jockey;São Paulo;Subterrâneo;Parque Santos Dumont
LINHA 04;AMARELA;FAL;Faria Lima;São Paulo;Subterrâneo;Pinheiros
LINHA 04;AMARELA;FRA;Fradique Coutinho;São Paulo;Subterrâneo;Pinheiros
LINHA 04;AMARELA;PIN;Pinheiros;São Paulo;Subterrâneo;Pinheiros
LINHA 04;AMARELA;REP;República;São Paulo;Subterrâneo;República
LINHA 04;AMARELA;TDS;Taboão da Serra;Taboão da Serra;Subterrâneo;Taboão da Serra
LINHA 04;AMARELA;VSO;Vila Sônia-Professora Elisabeth Tenreiro;São Paulo;Subterrâneo;Vila Sônia
LINHA 05;LILÁS;CPB;Campo Belo;São Paulo;Subterrânea;Campo Belo
